Unnamed: 0,id,smiles,scaffold,decorations,count
5120,695784701952,CN(C)c1ccc2c(c1)CCc1cc3ccc(N(C)C)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N(C)C'}",4841
5888,833223655424,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N'}",2188
1408,687194767360,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N(C)C)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N(C)C'}",2113
5968,833223655429,Nc1ccc2c(c1)CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N', 1: '[*]N'}",1424
0,249108103168,CN(C)c1ccc2c(c1)CCc1cc3ccc(N=[N+]=[N-])cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N=[N+]=[N-]', 1: '[*]N(C)C'}",820
5232,695784701959,CN(C)c1ccc2c(c1)CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N', 1: '[*]N(C)C'}",690
1465,687194767363,CCN(CC)c1ccc2c(c1)CCc1cc3ccc(N(CC)CC)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N(CC)CC'}",586
1473,687194767364,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N'}",573
1,249108103168,[N-]=[N+]=Nc1ccc2cc3c([s+]c2c1)-c1ccc(N)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N=[N+]=[N-]', 1: '[*]N'}",383
10800,1090921693187,CCN(CC)c1ccc2c(c1)CCc1cc3ccc(N(C)C)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N(CC)CC'}",257
1495,687194767365,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CCN(C)CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CCN(C)CC1'}",143
16256,1211180777472,C=C=[N+](F)c1ccc2cc3c([s+]c2c1)-c1ccc(N(C)C)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*][N+](F)=C=C', 1: '[*]N(C)C'}",110
10771,1090921693185,CNc1ccc2c(c1)CCc1cc3ccc(N(C)C)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]NC'}",96
5150,695784701953,CNc1ccc2cc3c([s+]c2c1)-c1ccc(N(C)C)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]NC', 1: '[*]N(C)C'}",86
11009,1090921693200,CN1CCN(c2ccc3c(c2)CCc2cc4ccc(N(C)C)cc4[s+]c2-3)CC1,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N1CCN(C)CC1'}",86
5776,704374636545,NN=CNc1ccc2c(c1)CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N', 1: '[*]NC=NN'}",67
1488,687194767365,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(NC)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]NC'}",58
9217,893353197568,C=Cc1ccc2cc3c([s+]c2c1)-c1ccc(N(C)C)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]C=C', 1: '[*]N(C)C'}",56
12,249108103168,[N-]=[N+]=Nc1ccc2c(c1)CCc1cc3ccc(N=[N+]=[N-])cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N=[N+]=[N-]', 1: '[*]N=[N+]=[N-]'}",53
1724,687194767379,CCNc1ccc2c(c1)CCc1cc3ccc(N(CC)CC)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]NCC'}",52
5937,833223655427,CNc1ccc2cc3c([s+]c2c1)-c1ccc(N)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]NC', 1: '[*]N'}",52
5760,704374636544,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(NC=NN)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]NC=NN'}",48
129,249108103176,CCN(CC)c1ccc2c(c1)CCc1cc3ccc(N=[N+]=[N-])cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N=[N+]=[N-]', 1: '[*]N(CC)CC'}",47
1524,687194767367,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CCN(c4cc[n+](CC)cc4)CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CCN(c2cc[n+](CC)cc2)CC1'}",43
1415,687194767360,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CCN(c4cc[n+](CCO)cc4)CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CCN(c2cc[n+](CCO)cc2)CC1'}",36
10774,1090921693185,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CC=CCC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N1CC=CCC1'}",36
6102,833223655437,COc1ccc2cc3c([s+]c2c1)-c1ccc(N)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]OC', 1: '[*]N'}",36
7164,833223655503,C=Cc1ccc2cc3c([s+]c2c1)-c1ccc(N)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]C=C', 1: '[*]N'}",34
1604,687194767372,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2C=CC=CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1C=CC=CC1'}",32
1520,687194767367,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CCCC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CCCC1'}",28
1529,687194767367,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CC=CCC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CC=CCC1'}",25
9440,927712935942,[N-]=[N+]=Nc1ccc2c(c1)CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N', 1: '[*]N=[N+]=[N-]'}",24
9411,927712935940,CNc1ccc2c(c1)CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N', 1: '[*]NC'}",23
11933,1090921693257,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CC=C(c4cc[n+](C)cc4)CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N1CC=C(c2cc[n+](C)cc2)CC1'}",18
11187,1090921693211,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N=[N+]=[N-])cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N=[N+]=[N-]'}",15
9639,927712935954,CCN(CC)c1ccc2c(c1)CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N', 1: '[*]N(CC)CC'}",15
11177,1090921693210,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CC=CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N1CC=CC1'}",15
9280,893353197572,C=Cc1ccc2cc3c([s+]c2c1)-c1ccc(N=[N+]=[N-])cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]C=C', 1: '[*]N=[N+]=[N-]'}",14
1601,687194767372,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CC=CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CC=CC1'}",14
2405,687194767422,CCN1CCN(c2ccc3c(c2)CCc2cc4ccc(N(CC)CC)cc4[s+]c2-3)CC1,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CCN(CC)CC1'}",14
11184,1090921693211,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N(C)P(=O)([O-])c2ccccc2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N(C)P(=O)([O-])c1ccccc1'}",13
33,249108103170,CN(c1ccc2c(c1)CCc1cc3ccc(N=[N+]=[N-])cc3[s+]c1-2)P(=O)([O-])c1ccccc1,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N=[N+]=[N-]', 1: '[*]N(C)P(=O)([O-])c1ccccc1'}",13
11689,1090921693242,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CCOCC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N1CCOCC1'}",13
1546,687194767368,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CCOCC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CCOCC1'}",12
5920,833223655426,CCN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)CC', 1: '[*]N'}",12
9264,893353197571,C=Cc1ccc2cc3c([s+]c2c1)-c1ccc([N+](C)(C)C)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]C=C', 1: '[*][N+](C)(C)C'}",12
1615,687194767372,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(NC(C#N)=Cc2cc[n+](C)cc2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]NC(C#N)=Cc1cc[n+](C)cc1'}",11
6322,833223655451,CN1CCN(CCNc2ccc3cc4c([s+]c3c2)-c2ccc(N)cc2CC4)CC1,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]NCCN1CCN(C)CC1', 1: '[*]N'}",11
11688,1090921693242,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CCN(c4cc[n+](C)cc4)CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N1CCN(c2cc[n+](C)cc2)CC1'}",11
1493,687194767365,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(C2=CC(=C(C#N)C#N)c4ccccc4[Se]2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]C1=CC(=C(C#N)C#N)c2ccccc2[Se]1'}",10
11235,1090921693214,CN(C)c1ccc(-c2ccc3c(c2)CCc2cc4ccc(N(C)C)cc4[s+]c2-3)cc1,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]c1ccc(N(C)C)cc1'}",10
5950,833223655427,CN1CCN(c2ccc3cc4c([s+]c3c2)-c2ccc(N)cc2CC4)CC1,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N1CCN(C)CC1', 1: '[*]N'}",10
708,249108103212,[N-]=[N+]=Nc1ccc2cc3c([s+]c2c1)-c1ccc(N2CCN(c4ccccc4)CC2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N=[N+]=[N-]', 1: '[*]N1CCN(c2ccccc2)CC1'}",9
2058,687194767400,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccc(N2CC=CC=N2)cc1CC3,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(CC)CC', 1: '[*]N1CC=CC=N1'}",9
11015,1090921693200,CC[n+]1ccc(N2CCN(c3ccc4c(c3)CCc3cc5ccc(N(C)C)cc5[s+]c3-4)CC2)cc1,[*:0]C1C=CC2C(C=1)=[S+]C1C3=CC=C(C=C3CCC=1C=2)[*:1],"{0: '[*]N(C)C', 1: '[*]N1CCN(c2cc[n+](CC)cc2)CC1'}",9
