Unnamed: 0,id,smiles,scaffold,decorations,count
1536,300647710720,CN(C)c1ccc2cc3c([s+]c2c1)-c1c(N)cccc1CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]N'}",3017
2193,532575944705,CN(C)c1ccc2cc3c([s+]c2c1)-c1c(cccc1N(C)C)CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]N(C)C'}",2897
2352,532575944715,Cc1cccc2c1-c1[s+]c3cc(N(C)C)ccc3cc1CC2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]C'}",681
1154,163208757248,CNc1cccc2c1-c1[s+]c3cc(N(C)C)ccc3cc1CC2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]NC'}",647
17,51539607553,CCN(CC)c1cccc2c1-c1[s+]c3cc(N(C)C)ccc3cc1CC2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]N(CC)CC'}",381
2201,532575944705,CN(C)c1ccc2cc3c([s+]c2c1)-c1c([O-])cccc1CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*][O-]'}",371
2176,532575944704,CN(C)c1ccc2cc3c([s+]c2c1)-c1c(cccc1N1CCOCC1)CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]N1CCOCC1'}",332
2534,532575944726,CN(C)c1ccc2cc3c([s+]c2c1)-c1c(C=O)cccc1CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]C=O'}",329
2373,532575944716,COC(=O)c1cccc2c1-c1[s+]c3cc(N(C)C)ccc3cc1CC2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]C(=O)OC'}",307
3142,532575944764,C=Cc1cccc2c1-c1[s+]c3cc(N(C)C)ccc3cc1CC2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=C([*:1])C=CC=1,"{0: '[*]N(C)C', 1: '[*]C=C'}",265
