Unnamed: 0,id,smiles,scaffold,decorations,count
7184,1133871366145,CC1Cc2ccccc2-c2[s+]c3cc(N(C)C)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C'}",1492
3840,953482739712,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3c1ccccc1,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]c1ccccc1'}",1427
3842,953482739712,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3c1ccccc1,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]c1ccccc1'}",1099
17,1,CCC1Cc2ccccc2-c2[s+]c3cc(N(C)C)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CC'}",687
7316,1133871366153,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3CC[N+](C)(C)C,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CC[N+](C)(C)C'}",518
14096,1468878815233,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3C,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]C'}",413
0,0,CCC1Cc2ccccc2-c2[s+]c3cc(N(CC)CC)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]CC'}",360
7170,1133871366144,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3C[N+](C)(C)C,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C[N+](C)(C)C'}",330
1284,403726925824,CCCCC1Cc2ccccc2-c2[s+]c3cc(N(C)C)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CCCC'}",299
1280,403726925824,CCCCC1Cc2ccccc2-c2[s+]c3cc(N(CC)CC)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]CCCC'}",281
6027,1030792151040,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3C[NH3+],[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C[NH3+]'}",279
7182,1133871366144,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3CO,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CO'}",238
7204,1133871366146,COC(=O)C1Cc2ccccc2-c2[s+]c3cc(N(C)C)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C(=O)OC'}",227
7281,1133871366151,COC(=O)CC1Cc2ccccc2-c2[s+]c3cc(N(C)C)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CC(=O)OC'}",220
7205,1133871366146,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3CC(=O)[O-],[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CC(=O)[O-]'}",196
7280,1133871366151,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3CC(=O)O,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CC(=O)O'}",179
6528,1090921693184,CCOC(=O)CCC1Cc2ccccc2-c2[s+]c3cc(N(CC)CC)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]CCC(=O)OCC'}",170
768,77309411328,CCOC(=O)CC1Cc2ccccc2-c2[s+]c3cc(N(CC)CC)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]CC(=O)OCC'}",170
7394,1133871366158,CC(=O)OC1Cc2ccccc2-c2[s+]c3cc(N(C)C)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]OC(C)=O'}",155
7250,1133871366149,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1CC3C(=O)O,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C(=O)O'}",148
7268,1133871366150,CC(=O)C1Cc2ccccc2-c2[s+]c3cc(N(C)C)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C(C)=O'}",142
32,2,CCC1Cc2ccccc2-c2[s+]c3cc(OC)ccc3cc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)C([*:1])CC1C3=CC=CC=1,"{0: '[*]OC', 1: '[*]CC'}",140
